root_symbol,instrument_name,underlying_name,exchange_id,exchange_alias,parent_calendar_id,child_calendar_id,underlying_asset_class_id,underlying_country_id,quote_currency_id,multiplier,tick_size,average_pricing,settle_start,settle_end,settle_method,settle_timezone,deliverable,final_settle_method,final_settle_start,final_settle_end,final_settle_timezone,last_trade_time,auto_close_date
TW,MSCI Taiwan Index,MSCI Taiwan Index,XSES,SGX,XSES,,5,TW,USD,100,0.1,,13:45,13:50,cspa,exch,0,TWSE 30min twap,13:00,13:30,exch,13:45,
CN,FTSE Xinhua China A50,FTSE China A50 Index,XSES,SGX,XSES,,5,CN,USD,1,2.5,,16:30,16:35,cspa,exch,0,SSE close,14:57,15:00,exch,16:30,
YM,Mini DJI,Dow Jones Industrial Average,XCME,CBOT,XCME,EQD,5,US,USD,5,1,,15:14:30,15:15,vwap,exch,0,SOQ,9:30,9:30,exch,9:30,last_trade
SP,S&P 500,S&P 500 Index,XCME,CME,XCME,EQD,5,US,USD,250,0.1,,15:14:30,15:15,vwap,exch,0,SOQ,9:30,9:30,exch,16:15,last_trade
ES,E-mini S&P 500,S&P 500 Index,XCME,CME,XCME,EQD,5,US,USD,50,0.25,,15:14:30,15:15,vwap,exch,0,SOQ,9:30,9:30,exch,9:30,last_trade
SXM,Mini TSX Index,TSX Index,XMOD,MX,XMOD,EQD,5,CA,CAD,50,0.1,,15:59,16:00,vwap,exch,0,Opening Price,9:30,9:30,exch,9:30,
SXF,TSX Index,TSX Index,XMOD,MX,XMOD,EQD,5,CA,CAD,200,0.1,,15:59,16:00,vwap,exch,0,Opening Price,9:30,9:30,exch,9:30,
IR,90 Day Bills,Australia 90 Day Bank Bill,XASX,ASX,XASX,,2,AU,AUD,2400,0.01,,16:10,16:12,cspa,exch,1,Delivery,10:00,10:00,exch,12:00,
FEU3,3 Month EURIBOR Interest Rate,3 Month EURIBOR Interest Rate,XEUR,EUREX,XEUR,EUBANK,2,EU,EUR,2500,0.005,,17:14,17:15,vwap,exch,0,EMMI Euribor Rate,11:00,11:00,exch,11:00,
I,3 Month EURIBOR Interest Rate,3 Month EURIBOR Interest Rate,IFEU,ICE,IFEU,,2,EU,EUR,2500,0.005,,16:00,16:15,vwap,exch,0,EMMI Euribor Rate,10:00,10:00,exch,10:00,
S,3 Month Euro Swiss Interest Rate,3 Month Euro Swiss Interest Rate,IFEU,ICE,IFEU,,2,CH,CHF,2500,0.01,,16:00,16:15,vwap,exch,0,Swiss Franc ICE LIBOR,11:00,11:00,exch,11:00,
L,3 Month Sterling Interest Rate ,3 Month Sterling Interest Rate ,IFEU,ICE,IFEU,,2,GB,GBP,1250,0.01,,16:09,16:24,vwap,exch,0,ICE LIBOR,11:00,11:00,exch,11:00,
GE,Globex Eurodollar,3 Month Eurodollar Interest Rate,XCME,CME,XCME,,2,US,USD,2500,0.0025,,13:59,14:00,vwap,exch,0,IBA LIBOR FIXING,11:00,11:00,London,11:00,
BAX,3 Month Canadian Banker's Acceptance Futures,3 Month Canadian Banker's Acceptance,XMOD,MX,XMOD,IRD,2,CA,CAD,2500,0.005,,14:57,15:00,vwap,exch,0,3mo CDOR,10:15,10:15,exch,10:15,
6J,Japanese Yen Futures,Japanese Yen,XCME,CME,XCME,FX,6,JP,USD,12500000,0.0000005,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
