exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,face_value,settlement_days,coupon,day_counter,first_auction_date,issue_date,effective_date,maturity_date,period,redemption,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_info,parent_calendar_id,child_calendar_id
912796QY8,B 02/21/2019,US,B 02/21/2019,2.0,BILL,100,1,0.0,Act/360,2018-08-20,2018-08-23,,2019-02-21,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-08-21,2019-02-20,USBOND,USBOND,
912796RS0,B 06/06/2019,US,B 06/06/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-03,2018-12-06,,2019-06-06,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-04,2019-06-05,USBOND,USBOND,
912796RN1,B 12/05/2019,US,B 12/05/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-04,2018-12-06,,2019-12-05,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-06,2019-12-04,USBOND,USBOND,
912796RU5,B 06/13/2019,US,B 06/13/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-10,2018-12-13,,2019-06-13,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-11,2019-06-12,USBOND,USBOND,
912796RV3,B 06/27/2019,US,B 06/27/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-24,2018-12-27,,2019-06-27,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-26,2019-06-26,USBOND,USBOND,
912796RW1,B 07/05/2019,US,B 07/05/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-31,2019-01-03,,2019-07-05,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-02,2019-07-03,USBOND,USBOND,
912796RT8,B 01/02/2020,US,B 01/02/2020,2.0,BILL,100,1,0.0,Act/360,2018-12-31,2019-01-03,,2020-01-02,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-02,2019-12-31,USBOND,USBOND,
912796RZ4,B 07/11/2019,US,B 07/11/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-07,2019-01-10,,2019-07-11,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-08,2019-07-10,USBOND,USBOND,
912796SA8,B 07/25/2019,US,B 07/25/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-22,2019-01-24,,2019-07-25,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-23,2019-07-24,USBOND,USBOND,
912796SB6,B 08/01/2019,US,B 08/01/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-28,2019-01-31,,2019-08-01,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-29,2019-07-31,USBOND,USBOND,
912796RY7,B 01/30/2020,US,B 01/30/2020,2.0,BILL,100,1,0.0,Act/360,2019-01-29,2019-01-31,,2020-01-30,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-30,2020-01-28,USBOND,USBOND,
912796SC4,B 08/08/2019,US,B 08/08/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-04,2019-02-07,,2019-08-08,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-05,2019-08-07,USBOND,USBOND,
912796UW7,B 04/09/2019,US,B 04/09/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-07,2019-02-12,,2019-04-09,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-08,2019-04-08,USBOND,USBOND,
912796UX5,B 04/16/2019,US,B 04/16/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-14,2019-02-19,,2019-04-16,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-15,2019-04-15,USBOND,USBOND,
912796SE0,B 08/22/2019,US,B 08/22/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-19,2019-02-21,,2019-08-22,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-20,2019-08-21,USBOND,USBOND,
912796UY3,B 04/23/2019,US,B 04/23/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-21,2019-02-26,,2019-04-23,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-22,2019-04-22,USBOND,USBOND,
912796SF7,B 08/29/2019,US,B 08/29/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-25,2019-02-28,,2019-08-29,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-26,2019-08-28,USBOND,USBOND,
912796SD2,B 02/27/2020,US,B 02/27/2020,2.0,BILL,100,1,0.0,Act/360,2019-02-26,2019-02-28,,2020-02-27,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-27,2020-02-26,USBOND,USBOND,
912796UZ0,B 04/30/2019,US,B 04/30/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-28,2019-03-05,,2019-04-30,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-01,2019-04-29,USBOND,USBOND,
912796SG5,B 09/05/2019,US,B 09/05/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-04,2019-03-07,,2019-09-05,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-05,2019-09-04,USBOND,USBOND,
912796VA4,B 05/07/2019,US,B 05/07/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-07,2019-03-12,,2019-05-07,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-08,2019-05-06,USBOND,USBOND,
912796VB2,B 05/14/2019,US,B 05/14/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-14,2019-03-19,,2019-05-14,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-15,2019-05-09,USBOND,USBOND,
912796SJ9,B 09/19/2019,US,B 09/19/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-18,2019-03-21,,2019-09-19,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-19,2019-09-18,USBOND,USBOND,
912796VC0,B 05/21/2019,US,B 05/21/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-21,2019-03-26,,2019-05-21,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-22,2019-05-20,USBOND,USBOND,
912796SK6,B 09/26/2019,US,B 09/26/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-25,2019-03-28,,2019-09-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-26,2019-09-25,USBOND,USBOND,
912796SH3,B 03/26/2020,US,B 03/26/2020,2.0,BILL,100,1,0.0,Act/360,2019-03-26,2019-03-28,,2020-03-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-27,2020-03-24,USBOND,USBOND,
912796VD8,B 05/28/2019,US,B 05/28/2019,2.0,BILL,100,1,0.0,Act/360,2019-03-28,2019-04-02,,2019-05-28,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-03-29,2019-05-24,USBOND,USBOND,
912796SL4,B 10/03/2019,US,B 10/03/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-01,2019-04-04,,2019-10-03,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-02,2019-10-02,USBOND,USBOND,
912796VE6,B 06/04/2019,US,B 06/04/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-04,2019-04-09,,2019-06-04,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-05,2019-06-03,USBOND,USBOND,
912796UL1,B 01/29/2019,US,B 01/29/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-04,2018-12-06,,2019-01-29,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-06,2019-01-28,USBOND,USBOND,
912796UM9,B 02/05/2019,US,B 02/05/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-06,2018-12-11,,2019-02-05,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-07,2019-02-04,USBOND,USBOND,
912796UN7,B 02/12/2019,US,B 02/12/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-13,2018-12-18,,2019-02-12,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-14,2019-02-11,USBOND,USBOND,
912796UP2,B 02/19/2019,US,B 02/19/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-20,2018-12-26,,2019-02-19,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-21,2019-02-15,USBOND,USBOND,
912796UQ0,B 02/26/2019,US,B 02/26/2019,2.0,BILL,100,1,0.0,Act/360,2018-12-27,2019-01-02,,2019-02-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-12-28,2019-02-25,USBOND,USBOND,
912796UR8,B 03/05/2019,US,B 03/05/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-03,2019-01-08,,2019-03-05,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-04,2019-03-04,USBOND,USBOND,
912796US6,B 03/12/2019,US,B 03/12/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-10,2019-01-15,,2019-03-12,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-11,2019-03-11,USBOND,USBOND,
